Disease_Ayurvedic_Name,Symptoms,Ayurvedic_Remedy,Ingredients,Preparation,Description
Granthi,"Lump or cyst, pain",Shatavariguda,Shatavari (Asparagus racemosus) and other ingredients,Create using Shatavari and other ingredients.,"Abnormal growths or collections of fluid or tissue, which can occur in various parts of the body. Treatment depends on the location and nature of the cyst or nodule, ranging from observation to surgical removal. Regular medical evaluation is necessary to monitor changes in size or symptoms."
Sandhigatavata,"Joint stiffness, pain",Vasavaleha,"Vasaka (Adhatoda vasica), Ghee, and other herbs","Prepare with Vasaka, ghee, and additional herbs.","Conditions affecting the joints, such as arthritis or joint pain, due to imbalances in the Vata dosha. Ayurvedic treatments focus on reducing joint inflammation, improving mobility, and balancing Vata through diet, herbs, and lifestyle adjustments."
Agnidagdha,"Burning sensation, indigestion",Vyaghri Haritaki,"Haritaki, Ghee, and other herbs","Make with Haritaki, ghee, and other herbs.","Injuries to the skin caused by exposure to heat, chemicals, electricity, or radiation. Proper wound care, pain management, and, in severe cases, surgical interventions like skin grafts are essential for treating burns and preventing complications like infections or scarring."
Manodvega,"Anxiety, restlessness",Punarnavadi Kashayam,Punarnava (Boerhavia diffusa) and other herbs,Combine Punarnava with other herbs.,"Emotional states characterized by restlessness, worry, or unease. Managing mental anxiety often involves therapy, relaxation techniques, meditation, and, in some cases, medication to promote emotional well-being and reduce agitation."
Pittaroga,"Jaundice, digestive issues",Vyaghryadi Kashayam,Various herbs,Prepare with various herbs.,"Health issues resulting from an excess of the Pitta dosha, including symptoms like inflammation, acidity, and irritability. Balancing Pitta through cooling foods, stress management, and lifestyle adjustments is essential for restoring harmony in the body."
Mutraghata,"Urinary retention, pain",Dashamula Kvatha Churna,"Dashamula (a combination of ten roots), Churna (powder)",Create a powder with Dashamoola.,"Blockages or difficulties in urination, which can result from conditions like urinary stones or prostate enlargement. Treatment may involve catheterization, medications, or surgical interventions to relieve obstruction and restore normal urinary function."
Suryavarta,"Sunburn, skin redness","Dashmula Katutraya
Kvatha Churna",Dashamula and other ingredients,Prepare a powder with Dashamula and other ingredients.,"Severe and recurrent headaches often accompanied by nausea, vomiting, and sensitivity to light and sound. Migraine management includes identifying triggers, lifestyle modifications, and medications to alleviate symptoms and reduce the frequency and intensity of attacks."
Pittajanetravyadhi,"Liver disorders, abdominal pain","Dhanyapanchaka
Kashaya Churna",A herbal decoction powder,Create a herbal decoction powder.,"Conditions affecting the liver and spleen, such as hepatitis, cirrhosis, or enlarged spleen. Treatment varies based on the specific disorder and may involve medications, dietary changes, or surgical interventions to manage symptoms and improve organ function. Regular medical monitoring is essential for individuals with these conditions."
Vastigatashula,"Abdominal pain, discomfort",Guduchyadi KashayaChurna,A combination of cereals (Dhanya) and other herbs,Formulate a powder with cereals and herbs.,"Pain and discomfort in the bladder region, often associated with urinary tract infections (UTIs), interstitial cystitis, or bladder stones. Treatment includes antibiotics for UTIs, pain management, and addressing the underlying cause for other urinary disorders."
Shula,"Abdominal pain, cramps",Indukantam Kashayam Churna,Guduchi (Tinospora cordifolia) and other ingredients,Prepare a powder with Guduchi and other ingredients.,"Pain and discomfort in the abdominal region, which can result from various causes such as gastrointestinal issues, gallstones, or kidney stones. Treatment depends on the underlying cause and may involve medication, surgery, or dietary changes to alleviate symptoms and promote digestive health."
Mukhdaurgandhya,"Bad breath, oral discomfort",Pancha-valkala Kashaya Churna,Indukanta (a combination of herbs) and other ingredients,Create a powder with Indukanta and other ingredients.,"Unpleasant odor originating from the mouth, often due to poor oral hygiene, dental issues, or underlying medical conditions. Maintaining good oral hygiene practices, regular dental check-ups, and addressing any underlying causes can help combat bad breath and promote oral health."
Vatajashula,"Abdominal pain, gas",Pathyadi Kvatha(Shadanga) Churna,A combination of five barks (Pancha-valkala) and other herbs,Prepare a powder with five barks and other herbs.,"Abdominal discomfort and pain resulting from imbalances in the Vata dosha. Ayurvedic approaches focus on balancing Vata through warm, nourishing foods, relaxation, and herbal remedies to alleviate abdominal pain and digestive disturbances."
Urustambha,"Leg stiffness, muscle pain",Phalatrikadi Kvatha Churna,A combination of herbs (Shadanga) and other ingredients,Formulate a powder with herbs and other ingredients.,"Involuntary muscle contractions or stiffness in the legs, which can be due to muscle fatigue, dehydration, or neurological issues. Addressing the underlying cause and using stretching exercises, hydration, and medications as needed can help relieve leg stiffness and spasms."
Anidra,"Insomnia, sleep disturbances",Rasnasaptaka Kashaya Churna,Phalatrikadi (a combination of herbs) and other ingredients,Create a powder with Phalatrikadi and other ingredients.,"Persistent difficulty falling asleep or staying asleep, often caused by stress, anxiety, or sleep disorders. Improving sleep hygiene, relaxation techniques, therapy, and, if necessary, medications can help individuals achieve restful sleep and alleviate insomnia."
Anaha,"Abdominal swelling, bloating",Shadanga Kvatha Churna,Rasnasaptaka (a combination of herbs) and other ingredients,Prepare a powder with Rasnasaptaka and other ingredients.,"Swelling or puffiness in various body parts, often due to fluid retention, inflammation, or underlying medical conditions. Treating edema involves addressing the underlying cause, dietary changes, diuretics, and lifestyle modifications to reduce fluid buildup and swelling."
Sandhigraha,"Joint pain, stiffness",Trinapanchamula Kvatha Churna,Shadanga (a combination of six parts) and other ingredients,Formulate a powder with Shadanga and other ingredients.,"Reduced range of motion and stiffness in the joints, often associated with conditions like osteoarthritis or rheumatoid arthritis. Managing joint stiffness involves physical therapy, medications, and lifestyle adaptations to improve joint function and mobility."
Urdhvagaraktapitta,"Nosebleeds, blood in vomit",Varunadi Kvatha Churna,A combination of five roots (Trinapanchamula) and other herbs,Create a powder with five roots and other herbs.,"Bleeding in the upper gastrointestinal tract, typically from conditions like peptic ulcers or esophageal varices. Treatment involves identifying the source of bleeding through diagnostic procedures and interventions like endoscopy, medication, or surgery to stop the bleeding and address the underlying cause."
Hrid-daurbalya,"Weakness, fatigue","Vasaguduchyadi
Kashaya Churna",Varunadi (a combination of herbs) and other ingredients,Prepare a powder with Varunadi and other ingredients.,"Reduced cardiac function and pumping capacity, which can lead to heart failure. Managing heart weakness includes medications, lifestyle changes, and, in severe cases, procedures like heart transplantation to improve heart function and overall well-being. Regular monitoring is crucial for individuals with heart weakness."
Sandhivedana,"Joint pain, discomfort",Amritadi Guggulu,A combination of Guduchi and Vasaka (Adhatoda) with other ingredients,"Formulate with Guduchi, Vasaka, and other ingredients.","Pain and discomfort in the joints, often due to arthritis, overuse, or injuries. Treatment includes pain relievers, anti-inflammatory medications, physical therapy, and lifestyle adjustments to manage joint pain and improve joint function. Regular exercise and joint care are essential for long-term joint health."
Padadaha,"Burning feet, foot pain",Gokshuradi Guggulu,"Guggulu (Commiphora wightii), Amrita (Tinospora cordifolia), and other herbs","Make with Guggulu, Guduchi, and other herbs.","A sensation of burning, heat, or discomfort in the feet, often associated with conditions like neuropathy or poor circulation. Managing burning feet involves treating the underlying cause, pain relief, and lifestyle adjustments to improve foot health and reduce discomfort."
Amvata,"Joint swelling, stiffness",Kanchanara Guggulu,Guggulu and Gokshura (Tribulus terrestris) with other herbs,"Combine Guggulu, Gokshura, and other herbs.","Rheumatoid arthritis with the presence of Ama, which is undigested toxins in the body. Management includes Ayurvedic detoxification therapies, anti-inflammatory medications, and lifestyle changes to address the root cause of Ama and reduce joint inflammation and pain."
Khalli,"Itching, skin irritation",Kaishora Guggulu,Guggulu and Kanchanara (Bauhinia variegata) with other herbs,"Prepare with Guggulu, Kanchanara, and other herbs.","Skin conditions characterized by swelling and itching, such as hives or allergic reactions. Treatment includes identifying triggers, antihistamines, topical steroids, and avoiding allergens to alleviate symptoms and prevent flare-ups."
Dagdhavrana,"Burn wounds, skin redness",Lakshadi Guggulu,Guggulu and Kaishora (an Ayurvedic mineral preparation) with other herbs,"Formulate with Guggulu, Kaishora, and other herbs.","Injuries to the skin caused by exposure to heat, chemicals, electricity, or radiation. Proper wound care, pain management, and, in severe cases, surgical interventions like skin grafts are essential for treating burns and preventing complications like infections or scarring."
Kshata,"Wound, injury",Navak Guggulu,"Guggulu (Commiphora wightii), Triphala, Guduchi,","Create with Guggulu, Triphala, Guduchi, and more.","Physical damage to the body's tissues, ranging from minor cuts and bruises to severe trauma. Proper wound care, cleaning, and, if necessary, medical attention are crucial for healing and preventing infections."
Gandamala,"Neck swelling, difficulty swallowing",Rasna Guggulu,"Ginger, Cinnamon, Indian Bdellium, and others","Make with Ginger, Cinnamon, Indian Bdellium, and more.","The swelling of the thyroid gland in the neck, often due to iodine deficiency or thyroid disorders. Treatment involves addressing the underlying thyroid condition, medication, dietary changes, or surgery to manage gland enlargement and improve thyroid function. Regular thyroid evaluations are essential for individuals with goiter."
Kushtha,"Skin rashes, itching",Simhanada Guggulu,"Guggulu, Rasna (Pluchea lanceolata), Triphala,","Combine Guggulu, Rasna, Triphala, and other herbs.","A group of skin conditions, including leprosy, characterized by skin lesions, numbness, and nerve damage. Managing these skin diseases involves early diagnosis, antibiotics, multi-drug therapy for leprosy, and supportive care to prevent complications and promote healing. Stigma reduction and social support are vital for individuals affected by leprosy."
Manoroga,"Mental health issues, emotional distress",Saptavinshati Guggulu,"Guduchi, and other herbs",Prepare with Guduchi and other herbs.,"A wide range of mental health conditions, such as depression, anxiety disorders, schizophrenia, and bipolar disorder. Treatment varies based on the specific diagnosis and may include therapy, medication, lifestyle changes, and support networks to manage symptoms and improve mental well-being. Early intervention and destigmatization are crucial in addressing mental health disorders."
Manodosha,"Mental health issues, emotional imbalance",Triphala Guggulu,"Guggulu, Eranda (Ricinus communis), Devadaru,","Formulate with Guggulu, Eranda, Devadaru, and spices.","Conditions affecting cognitive, emotional, or behavioral aspects of mental health, often requiring a comprehensive assessment. Treatment approaches may include psychotherapy, medication, and psychosocial interventions tailored to the individual's needs and circumstances. Early intervention and support from mental health professionals are essential for those with mental health abnormalities."
Panduduarbalya,"Fatigue, weakness",Trayodashanga Guggulu,and various spices,Create with various herbs.,"A deficiency of red blood cells or hemoglobin, resulting in fatigue, weakness, and overall debility. Treating anemia involves identifying the underlying cause (e.g., iron deficiency, chronic illness) and addressing it through dietary changes, iron supplementation, or other medical interventions to restore healthy blood levels and energy. Regular monitoring is important for individuals with anemia."
Atisara,"Diarrhea, abdominal pain",Punarnava Guggulu,"Guggulu, Hingu (Asafoetida), Ajwain (Bishop's weed),","Make with Guggulu, Hingu, Ajwain, and other herbs.","Frequent, loose bowel movements that can lead to dehydration and electrolyte imbalances. Treatment includes rehydration, dietary modifications, and addressing the underlying cause (e.g., infections, food intolerance) through medications or supportive care to relieve symptoms and prevent complications."
Hikka,"Hiccups, chest discomfort",Yogaraja Guggulu,and other herbs,Formulate with various herbs.,"Spasms of the diaphragm leading to sudden, audible inhalations, often triggered by various factors like eating too quickly or emotional stress. Hiccup remedies include holding one's breath, drinking cold water, or medical interventions in persistent cases. Identifying and addressing underlying causes is essential for chronic hiccups."
Dadru,"Skin rash, itching",Brahmi Ghrita,"Guggulu, Triphala (Amla, Haritaki, Bibhitaki),","Create using Guggulu, Triphala, and other supportive herbs.","Skin conditions involving itching, redness, and rashes, such as eczema or psoriasis. Treatment varies depending on the specific disorder but may include topical creams, antihistamines, phototherapy, or immune-modulating medications to alleviate symptoms and manage skin diseases. Skin care routines and avoiding triggers are essential for individuals with chronic skin conditions."
Arma,"Muscle pain, soreness",Dadimadi Ghrita,and other supportive herbs,Prepare with other supportive herbs.,"Painless lumps or nodules that can appear in the neck, armpits, or other areas, often due to enlarged lymph nodes or benign growths. Diagnosis and treatment depend on the underlying cause, which may include observation, fine-needle aspiration, or surgical removal. Regular medical evaluation is essential for individuals with persistent nodules."
Tvakvikara,"Skin disorders, rash",Guggulutiktaka Ghrita,"Guggulu, Shunthi (Ginger), Pippali, and other herbs","Make with Guggulu, Shunthi, Pippali, and other herbs.","Various skin conditions affecting the appearance, texture, or function of the skin, such as acne, dermatitis, or skin cancer. Treatment ranges from topical medications and lifestyle changes to surgical procedures, depending on the specific disorder. Regular skin screenings are vital for early detection and management of skin diseases."
Agnimandhya,"Digestive issues, indigestion",Jathyadi Ghrita,"Guggulu, Punarnava (Boerhavia diffusa), and others","Formulate with Guggulu, Punarnava, and other ingredients.","Impaired digestive function, often leading to symptoms like bloating, indigestion, or constipation. Managing digestive weakness involves dietary modifications, digestive aids, herbal remedies, and lifestyle changes to improve digestion and overall gastrointestinal health. Identifying food intolerances and sensitivities is crucial for managing digestive issues."
Pittajaroga,"Liver disorders, jaundice",Kalyanaka Ghrita,"Guggulu, Rasna, Gokshura, and various herbs","Prepare with Guggulu, Rasna, Gokshura, and various herbs.","Conditions affecting the liver and bile ducts, including hepatitis, cirrhosis, and gallbladder disease. Treatment depends on the specific disorder and may involve medications, dietary changes, or surgical interventions to manage symptoms and improve liver and bile function. Regular liver function tests and medical monitoring are important for individuals with liver and bile disorders."
Praseka,"Excessive salivation, drooling","Kshirashatpala
Ghrita","Brahmi (Bacopa monnieri), Ghee, and other herbs","Create using Brahmi, ghee, and other herbs.","An overproduction of saliva leading to drooling, which can be due to conditions like hypersalivation or neurological issues. Treatment involves addressing the underlying cause, oral hygiene, and supportive measures to manage excessive salivation and prevent associated discomfort or social challenges."
Medoroga,"Obesity, fatty liver",Panchatikta Ghrita,"Dadima (Pomegranate), Ghee, and other herbs","Make with Dadima, ghee, and other herbs.","Health problems related to the metabolism of fats in the body, including obesity and lipid disorders. Managing these disorders involves dietary changes, physical activity, medications, and lifestyle modifications to regulate fat metabolism, reduce body weight, and improve overall health. Regular medical check-ups and monitoring are essential for individuals with these conditions."
Raktajroga,"Blood disorders, anemia",Phala Ghrita,"Guggulu, Neem, and various herbs","Formulate with Guggulu, Neem, and various herbs.","Conditions affecting the blood, such as anemia, thrombocytopenia, or leukemia. Treatment varies based on the specific disorder and may include blood transfusions, medications, chemotherapy, or bone marrow transplantation to manage symptoms and promote healthy blood function. Regular blood tests and medical monitoring are essential for individuals with blood-related disorders."
Agnimandya,"Digestive issues, indigestion",Shatavaryadi Ghrita,"Jati (Jasminum officinale), Neem, and other herbs","Prepare with Jati, Neem, and other herbs.","Reduced digestive capacity, often leading to digestive discomfort, slow metabolism, and nutrient deficiencies. Ayurvedic approaches focus on strengthening the digestive fire (Agni) through dietary adjustments, herbs, and lifestyle practices to improve digestion, absorption, and overall well-being."
